time,open,high,low,close,tick_volume,spread,real_volume
2019-11-19,108.66,108.831,108.368,108.457,21181,11,0
2019-11-20,108.463,108.733,108.345,108.461,28069,11,0
2019-11-21,108.464,108.69,108.275,108.567,27638,11,0
2019-11-22,108.571,108.724,108.472,108.628,18586,11,0
2019-11-24,108.641,108.735,108.639,108.714,2550,20,0
2019-11-25,108.717,108.996,108.689,108.982,18386,11,0
2019-11-26,108.987,109.201,108.87,109.088,21409,11,0
2019-11-27,109.091,109.603,109.064,109.357,17326,11,0
2019-11-28,109.362,109.542,109.335,109.505,15132,11,0
2019-11-29,109.51,109.663,109.374,109.435,16954,11,0
2019-12-01,109.504,109.55,109.467,109.525,2271,20,0
2019-12-02,109.522,109.722,108.921,109.014,21955,11,0
2019-12-03,109.017,109.202,108.481,108.647,26546,11,0
2019-12-04,108.653,108.958,108.425,108.822,25343,11,0
2019-12-05,108.824,108.99,108.652,108.714,21987,11,0
2019-12-06,108.72,108.915,108.429,108.562,18685,11,0
2019-12-08,108.619,108.642,108.562,108.625,2316,20,0
2019-12-09,108.631,108.672,108.425,108.577,16925,11,0
2019-12-10,108.579,108.804,108.51,108.759,19750,11,0
2019-12-11,108.761,108.79,108.463,108.54,18325,10,0
2019-12-12,108.545,109.523,108.453,109.396,27050,10,0
2019-12-13,109.398,109.698,109.202,109.327,27881,11,0
2019-12-15,109.283,109.427,109.271,109.368,1997,20,0
2019-12-16,109.374,109.67,109.35,109.57,15989,11,0
2019-12-17,109.574,109.628,109.439,109.506,16160,11,0
2019-12-18,109.512,109.622,109.396,109.538,16525,11,0
2019-12-19,109.54,109.678,109.177,109.372,16650,11,0
2019-12-20,109.378,109.521,109.252,109.468,12604,11,0
2019-12-22,109.432,109.524,109.381,109.487,1689,20,0
2019-12-23,109.49,109.494,109.335,109.376,13453,11,0
2019-12-24,109.376,109.436,109.324,109.401,8997,11,0
2019-12-26,109.55,109.679,109.514,109.514,9286,11,0
2019-12-27,109.519,109.586,109.385,109.422,13981,11,0
2019-12-29,109.431,109.463,109.409,109.425,1655,20,0
2019-12-30,109.428,109.445,108.764,108.862,16380,11,0
2019-12-31,108.864,108.872,108.466,108.579,12174,11,0
2020-01-02,108.696,108.859,108.208,108.529,16767,11,0
2020-01-03,108.534,108.558,107.84,108.09,28270,11,0
2020-01-05,107.876,107.949,107.754,107.943,2929,20,0
2020-01-06,107.954,108.501,107.912,108.397,24001,11,0
2020-01-07,108.403,108.623,107.821,107.984,25678,11,0
2020-01-08,107.988,109.237,107.647,109.026,40844,11,0
2020-01-09,109.03,109.574,109.027,109.486,23142,11,0
2020-01-10,109.488,109.681,109.432,109.5,15621,11,0
2020-01-12,109.514,109.576,109.489,109.537,2699,20,0
2020-01-13,109.543,109.984,109.53,109.984,14268,11,0
2020-01-14,109.995,110.205,109.797,109.842,23067,11,0
2020-01-15,109.845,109.995,109.785,109.869,18883,11,0
2020-01-16,109.874,110.214,109.871,110.169,15630,11,0
2020-01-17,110.172,110.282,110.046,110.149,13876,11,0
2020-01-19,110.075,110.18,110.075,110.178,1217,20,0
2020-01-20,110.18,110.212,110.111,110.165,10509,11,0
2020-01-21,110.168,110.216,109.756,109.903,21778,11,0
2020-01-22,109.905,110.09,109.661,109.727,18092,11,0
2020-01-23,109.727,109.759,109.263,109.549,22114,11,0
2020-01-24,109.555,109.646,109.168,109.283,18781,11,0
2020-01-26,108.936,108.996,108.716,108.79,3034,20,0
2020-01-27,108.793,109.131,108.793,108.922,27247,11,0
2020-01-28,108.925,109.228,108.755,109.126,23131,11,0
2020-01-29,109.129,109.25,108.929,108.978,21453,11,0
2020-01-30,108.981,109.041,108.58,108.874,29249,11,0
2020-01-31,108.88,109.128,108.308,108.348,25509,11,0
2020-02-02,108.414,108.417,108.299,108.36,2268,20,0
2020-02-03,108.371,108.793,108.363,108.604,26774,11,0
2020-02-04,108.609,109.538,108.545,109.433,23274,11,0
2020-02-05,109.436,109.838,109.3,109.803,24754,11,0
2020-02-06,109.808,109.997,109.777,109.954,19915,11,0
2020-02-07,109.957,109.998,109.528,109.766,21027,11,0
2020-02-09,109.659,109.757,109.546,109.604,2096,20,0
2020-02-10,109.609,109.872,109.603,109.76,20252,11,0
2020-02-11,109.762,109.956,109.723,109.834,16393,11,0
2020-02-12,109.836,110.128,109.797,109.856,16760,11,0
2020-02-13,109.86,109.981,109.615,109.753,23265,11,0
2020-02-14,109.759,109.904,109.695,109.776,14586,11,0
2020-02-16,109.791,109.816,109.738,109.786,1477,20,0
2020-02-17,109.788,109.955,109.715,109.827,11058,11,0
2020-02-18,109.829,109.942,109.655,109.905,18725,11,0
2020-02-19,109.91,111.586,109.858,111.183,21978,11,0
2020-02-20,111.188,112.219,111.108,111.961,35930,11,0
2020-02-21,111.965,112.179,111.472,111.537,28825,11,0
2020-02-23,111.383,111.576,111.368,111.535,2973,20,0
2020-02-24,111.539,111.677,110.329,110.837,37572,11,0
2020-02-25,110.842,111.036,109.887,110.269,44093,11,0
2020-02-26,110.278,110.695,110.126,110.356,47143,11,0
2020-02-27,110.367,110.396,109.351,109.6,54319,11,0
2020-02-28,109.608,109.66,107.507,108.029,63625,11,0
2020-03-01,107.552,107.716,107.389,107.66,3321,20,0
2020-03-02,107.664,108.572,107.399,108.474,63454,11,0
2020-03-03,108.498,108.521,106.834,107.025,67274,11,0
2020-03-04,107.044,107.681,107.03,107.665,47305,11,0
2020-03-05,107.687,107.71,105.976,106.238,45609,11,0
2020-03-06,106.249,106.336,104.99,105.321,69638,11,0
